channel,timestamp,reference_mode,peak_bpm,peak_power_dB,snr_dB,peak_width_Hz,peak_prom_dB,embedded_hr_bpm,embedded_hr_conf,mismatch_bool,mismatch_bpm_diff,fs_hz,nperseg,delta_f_hz,signal_bandwidth_hz
GREEN1,20251019_221154,peak,75.08,65.71,23.95,0.125,27.50,76.00,100.0,False,0.92,99.98,799,0.1251,0.5005
GREEN2,20251019_221154,peak,75.08,58.66,22.44,0.125,25.90,76.00,100.0,False,0.92,99.98,799,0.1251,0.5005
